ID,Name,Year,Distance,Area
C0R440,大漢山,2010.0,4500.0,363941.18370940245
C0R470,高樹,2010.0,4500.0,0.0
C0R480,長治,2010.0,4500.0,0.0
C0R490,九如,2010.0,4500.0,0.0
C0R510,萬丹,2010.0,4500.0,0.0
C0R520,崁頂,2010.0,4500.0,0.0
C0R530,林邊,2010.0,4500.0,0.0
C0R540,佳冬,2010.0,4500.0,0.0
C0R550,新埤,2010.0,4500.0,0.0
C0R560,新園,2010.0,4500.0,0.0
C0R570,麟洛,2010.0,4500.0,0.0
C0R580,南州,2010.0,4500.0,0.0
C0R590,里港,2010.0,4500.0,0.0
C0R600,舊泰武,2010.0,4500.0,235414.30520329552
C0R620,墾雷,2010.0,4500.0,0.0
C0R640,東港,2010.0,4500.0,0.0
C0R650,竹田,2010.0,4500.0,0.0
C0R660,枋寮,2010.0,4500.0,0.0
C0R670,楓港,2010.0,4500.0,0.0
C0R680,佳樂水,2010.0,4500.0,0.0
C0R690,墾丁,2010.0,4500.0,0.0
C0R700,枋山,2010.0,4500.0,1005.4800241342182
C0R710,龍磐,2010.0,4500.0,0.0
C0R720,旭海,2010.0,4500.0,3288.599709783958
C0R730,大坪頂,2010.0,4500.0,0.0
